Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
4	Welche Nationalitat hatte der grosse Marchenautor Andersen?	Schwedisch	danisch	Deutsch	Niederlandisch	B	LITERATUR
5	Wer war der erste Schlagzeuger der Band Omega?	Janos Solti	Franz von Debrecen	Jozsef Laux	Oszkar Nemeth	C	MUSIK
6	Wo war Minotaurus beruhmtes Labyrinth?	Malta	in Zypern	Kreta	auf Korsika	C	GESCHICHTE
7	Wie nennen die Turken Halva?	eine Art Sussigkeit	eine Art Turban	der Harem des Sultans	das turkische Kaffeehaus	A	SPRACHE
8	Wer wird als "Vater der Wasserstoffbombe" bezeichnet?	Ed Teller	Enrico Fermit	Robert Oppenheimer	Solider Lowe	A	WISSENSCHAFT
9	Welche der folgenden Schauspielerinnen hat fur keine ihrer Leistungen einen Oscar erhalten?	Greta Garbo	Audrey Hepburn	Olivia de Havilland	Bett Davis	A	FILM
1	Was nennen wir Canastha?	der Assistent des Khans	mannliches Modell	preisgekronter Kandur	Kartenspiel	D	SPRACHE
2	Welche "Dame" ist die Titelfigur des Werks von Alexander Dumas dem Jungeren?	Anislikor	Kamelie	Kamille	Miniatur	B	LITERATUR
3	Wie heisst das Schiff von Kapitan Nemo?	Kon Tiki	Maiblume	Nautilus	Santa Maria	C	LITERATUR
4	Von wem oder was hat der Trappistenkase seinen Namen?	uber einen Monchsorden	uber einen franzosischen Winzer	von einer hollandischen Weide	uber Kuhrasse	A	SPRACHE
5	Welche der folgenden ist keine Pflanze?	Butterblume	Maiglockchen	Eibe Blume	ein Bundel	C	BIOLOGIE
6	Welches der folgenden Tiere ist nicht ausgestorben?	Dinosaurier	Mauritischer Dodo	Mammut-	Tapir	D	BIOLOGIE
7	Welcher der Namen unserer beruhmten historischen Personlichkeiten ist falsch geschrieben?	Lajos Kossuth	Mihaly Vorosmarty	Istvan Szechenyi	Lajos Batthany	D	SPRACHE
8	Wer von den folgenden Schauspielerinnen hat nicht Batmans Partner gespielt?	Kim Basinger	Nicole Kidman	Isabella Rossellini	Michelle Pfeiffer	C	FILM
9	Wessen Bild ist auf der grunen Unterseite der ungarischen Karte zu sehen?	Rudenz Ulrich	Itell lesen	Furst Walter	Rudolf Harras	C	SPIEL
10	Wie ist der Wind in arpad Toths Gedicht aprilisi capriccio?	vom Regen durchnasst	feurig von der Sonne	voller Lowenzahn	laut mit Vogelgezwitscher	C	LITERATUR
1	Was mag ein Mann, der Lumpensammler genannt wird?	gross zu machen	tanzen	das Geschirr spulen	Hafen loschen	A	ALLGEMEINES
2	Fidel Castro ist Prasident welchen Landes?	Mexiko	Jamaika	Kuba	Panama	C	GESCHICHTE
3	Welches chemische Element wird zur Desinfektion von Wasser verwendet?	das Brom	das Mangan	das Chlor	das Magnesium	C	WISSENSCHAFT
4	Wie nannten die alten Ungarn die Strasse der Kriege?	der Weg der Eroberung	Die Milchstrasse	die Hauptstrasse nach Wien	die Flitterwochen	B	GESCHICHTE
5	Was wird als Kinderwagen bezeichnet?	Segelschiff	Pferdewagen	Taschenmesser	Kniehosen	B	SPRACHE
6	Nach wem wurden die Vulkane benannt?	eines romischen Gottes	uber einen mongolischen Herrscher	von einer Insel	uber eine antike Stadt	A	SPRACHE
7	Wie lange nennen wir eine Kuh eine Farse?	bis ein Monat alt	bis es vorbei ist	bis zum Alter von zwei Jahren	bis zum letzten Kalben	B	BIOLOGIE
8	Wie nennen die Pariser den Eiffelturm?	Der Riese	die Bohranlage	die Giraffe	die alte Frau	D	ALLGEMEINES
9	Welcher Rockmusiker erhielt im Jahr 2000 die meisten Grammys?	Phil Collins	Stevie Wonder	Carlo Santana	Eric Clapton	C	MUSIK
10	Wie viele Trikots trug ocsi Puskas im Golden Team?	10	9	Nummer 8	11	A	SPORT
11	Nach wessen Marchen schrieb Gyorgy Ranki die Oper "Des Pomadenkonigs neue Kleider"?	Bruder Grimm	Benedikt Elek	La Fontaine	Andersen	D	OPER
1	Wie heisst der Fruchtsaft, der zur Herstellung von Brandy fermentiert wird?	Ziffer	Maische	es ist schnell	Einkaufsnetz	B	KuCHE
2	Was geben Oktanzahlen an?	Rangliste Pferderennen	Belastbarkeit von Stahl	die Benzinqualitat	Klangbereich	C	ALLGEMEINES
3	Welches heute noch lebende Tier kann uber 30 Meter lang werden?	Grosser Tummler	Blauwal	robuste Schlange	Riesenschildkrote	B	BIOLOGIE
4	Nach welcher Waffe ist der Festplattenspeicher des Computers benannt?	uber den Torpedo	uber den Revolver	von Winchester	uber das Fohlen	C	ALLGEMEINES
5	Das Blatt welchen Baums ist im kanadischen Wappen abgebildet?	Ahorn	Eiche	auf der Kerze	Birke	A	LaNDER
6	Wo konnen wir das Margit Kovacs Museum in Ungarn besuchen?	in Kaposvar	Pecs	Papst	Szentendre	D	UNGARN
7	Was fur ein Verwandter wurde angeheiratet?	der Schwiegervater	die Schwiegermutter	der Schwager	der Onkel	A	ALLGEMEINES
8	Wie heisst die Kathedrale in Szeged?	Stephansdom	Votivkirche	Sankt-Georgs-Kirche	Kalvarienberg Kirche	B	RELIGION
9	"Zenegep" war die LP welcher ungarischen Band?	Grammophon	Generieren	Karthago	Corvina	B	MUSIK
10	Wen besiegte Cornelius Scipio 202 v. Chr. in der Schlacht von Zama?	Alexander der Grosse	Spartakus	Hannibal	Darius	C	GESCHICHTE
11	In welcher Sportart haben wir unsere erste WM-Goldmedaille gewonnen?	im Tischtennis	beim Fechten	im Eiskunstlauf	beim Sportschiessen	C	SPORT
1	Was sind Steinpilze?	susterina	Art Pilz	Art Watvogel	Muhle	B	SPRACHE
2	Wer war Rosinantes Don Quijote?	sein Pferd	Sein Besitzer	sein Diener	seine Liebe	B	LITERATUR
3	Wofur ist die Mailander Scala beruhmt?	uber seine Opernauffuhrungen	uber seine Spaghetti	uber sein Eis	uber seine Mineralogie-Ausstellungen	A	ALLGEMEINES
4	Welcher der folgenden ist der Name eines Einmast-Segelboots?	Schlauchboot	Abendessen	Dimer	Jig	A	SPORT
5	Welches Musikinstrument war Aladar Racz ein Kunstler?	Hackbrett	Zither	Himmlisch	Klarinette	A	OPER
6	Wie heisst der heilige Kafer der alten agypter, der Skarabaus, heute?	Hirschkafer	Marienkafer	Scuttlebutt-Kafer	cantharis	C	BIOLOGIE
7	Wo ist die "Wende" passiert?	in Tarsus	In Jerusalem	auf dem Weg nach Damaskus	auf dem Weg nach Rom	C	GESCHICHTE
8	Wer waren die Negus?	Zentralafrikanischer Stamm	athiopische Kaiser	Amerikanische Sklaven	Burgerrechtler der Pratorianer	B	GESCHICHTE
1	Fur welches Gerat ist aron Gabor beruhmt?	uber Kupferkanonen	uber einen Wasserwerfer	uber Sturmkanone	uber Gulaschkanone	A	GESCHICHTE
2	Welches Essen ist nach dem Autor von Black Diamonds benannt?	Huhnersuppe	Rindfleischsuppe	Bohnensuppe	die schwarze suppe	C	LITERATUR
3	Welcher Fluss ist Paris?	Seine	Rhone	Garonne	Loire	A	ERDKUNDE
4	"The Wall" war ein Hit von welcher Band?	Pink Floyd	Genesis	Rollende Steine	Konigin	A	MUSIK
5	Welches Land regierte der Sonnenkonig?	Frankreich	Russland	osterreich	Spanien	A	GESCHICHTE
6	Welche Verbindung besteht zwischen Mihaly Pollack und dem Gebaude des Nationalmuseums?	er war ihr erster Direktor	er hat es entworfen	half ihm mit einer Spende	er hat es restauriert	B	GESCHICHTE
7	Welche Form Bakterien sind Bazillen?	Stock	Kugel	schrauben	Kegel	A	BIOLOGIE
8	Wie viele Stationen hat Jesus Christus auf dem Kreuzweg durchlaufen?	7	14	10	12	B	RELIGION
9	Wer hat Penicillin entdeckt?	Herr Alexander Fleming	Paul Ehrlich	Howard Temin	Robert Koch	A	BIOLOGIE
10	Der beruhmte Strand welcher Stadt ist Copacabana?	Barcelona	Rio de Janeiro	Havanna	Buenos Aires	B	LaNDER
11	Wer hat den legendaren James Bond nicht gespielt?	Sean Connery	Georg Lazenby	Timothy Hutton	Timotheus Dalton	C	FILM
12	Wer war der grosste Ragtime-Komponist?	Scott Joplin	Irving Berlin	Glen Miller	Kohl Porter	A	MUSIK
13	Was bedeutet der Name des noch existierenden Stammes der Mohikaner auf Ungarisch?	der Sohn des Bisons	schnelles Pferd	Bar	Wolf	D	SPRACHE
1	Wofur wird der franzosische Schlussel verwendet?	den Louvre zu schliessen	Keuschheitsgurtel zu offnen	um die Mutter festzuziehen	zum Sprachenlernen	C	ALLGEMEINES
2	Der Filmklassiker von Zoltan Fabri hat seinen Titel von welchem Rummelplatz-Nachtclub?	Zielschuss	Eine Achterbahn	Karussell	Wurste	C	FILM
3	Wann leuchtet das Weissdornkleid im Gedicht von Sandor Weores?	wenn du es anprobierst	wenn sie im Feuer gehalten werden	Herbstnacht	wahrend der Einnahme	C	LITERATUR
4	Wer hat das Parlamentsgebaude entworfen?	Karoly Lotz	Imre Steindl	Frigyes Schulek	Ignac Alpar	B	DIE ARCHITEKTUR
5	Welche Oper hat Verdi uber die Eroffnung des Suezkanals geschrieben?	der Rigoletto	Othello	die Traviata	die Aida	D	OPER
6	Wie lautet der traditionelle Titel des englischen Thronfolgers?	Oberburgermeister	infantil	Herzog von Windsor	Prinz von Wales	D	ALLGEMEINES
7	Wer hat gesagt, dass es keinen Verlierer in der Schopfung gibt ausser ihm?	Weiler	Entschuldigung	Adam	Romeo	B	LITERATUR
8	In welcher Stadt fanden die Pferdesportveranstaltungen der Olympischen Spiele 1956 in Melbourne statt?	Stockholm	Sydney	London	Wellington	A	SPORT
1	Was ist auf der Flagge der Turkei zu sehen?	eine Mondsichel	einen halben Tag	eine halbe Wolke	ein halber Blitz	A	LaNDER
2	In alten Familien gilt mein Vormund fast als Familienmitglied. Wer war er?	der schnode Nachbar	der umwerbende Wachmann	die Begleitdame	der treue eb	C	ALLGEMEINES
3	Wofur wird die Erfindung von Alexander Bell verwendet?	zum Motorradfahren	fur den Anruf	fur Flug	zu telegraphieren	B	TECHNIK
4	Aus wie vielen Zahlensystemen besteht das binare Zahlensystem?	zehn	Sieben	zwolf	zwei	D	WISSENSCHAFT
5	Fur welches Instrument wurde Stradivari beruhmt?	Klavier	Gitarre	Violine	Kontrabass	C	OPER
6	Freddie Mercury war der Leadsanger welcher Rockband?	Wechselstrom/Gleichstrom	Rollende Steine	Konigin	Led Zeppelin	C	MUSIK
7	Um welchen amerikanischen Skandal geht es in dem Film The President's Men?	uber die Lewinsky-Affare	uber das Kennedy-Attentat	uber die Watergate-Affare	uber das Attentat auf Reagan	C	FILM
8	Wer war der schakalkopfige Gott in der agyptischen Mythologie?	Osiris	Isis	Anubis	Amon-Re	C	RELIGION
9	Welcher Verwandte des Kakaos wird zur Herstellung von Erfrischungsgetranken verwendet?	der Ingwer	die Kolanuss	der Kokastrauch	das Chinin	B	KuCHE
10	Welcher unserer Boxer gewann bei den Olympischen Spielen 1972 in Munchen die Silbermedaille im Staffelgewicht?	Janos Kajdi	Gyorgy Gedo	Andras Botos	Laszlo Orban	A	SPORT
1	Wie druckt sich der Spruch aus, dass wir bald mehr Geld bekommen?	das Bein des Geldregens hangt	Der Saft schaut durch das Fenster herein	Wer fruh aufsteht, findet eine volle Kiste vor	Geld ist im Haus	D	SPRACHE
2	Welcher der folgenden ist der Name einer Schachfigur?	Hundin	labanc	Husar	Hajdu	C	SPIEL
3	Was hast du bekommen, wer hat E-Mail auf deinem Computer?	neue Festplatte	E-Mail	Erweiterungskarte	neue Diskette	B	ALLGEMEINES
4	Die FIFA ist der internationale Verband welcher Sportart?	Ringen	Basketball	Fussball	Radfahren	C	SPORT
5	Welcher der folgenden ist dein Ball?	kriminelles Instrument	ein Unkraut	Fussball in alten Zeiten	singender Vogel	B	SPRACHE
6	Welches Land ist kein Inselstaat?	Sri Lanka	Irland	Honduras	Taiwan	C	ERDKUNDE
1	Welches Kuchenwerkzeug kann dem Wort Kanone vorangestellt werden?	Trichter	Datei	Granatwerfer	Sieb	C	KuCHE
2	Welches "Auto" steckt im Titel des legendaren ungarischen Films von 1934?	Wunder	kurvig	Geschichte	vierzehn Karat	C	FILM
3	Was lost die Explosion des Gasgemisches im Verbrennungsmotor aus?	Sicherung	fokale linse	Zundkerze	Zunder	C	TECHNIK
4	Wie lautet der Spitzname des Frontmanns der Band Republic?	Schuh	Schuh	Hausschuhe	Hobo	A	MUSIK
5	Was mag eine Person, die Anagramme mag?	eine alte Art von Gedicht	eine Lebensmittelspezialitat	Sammeln von kleinen Gegenstanden	Sprachspiele	D	SPRACHE
6	Wo leben Eisbaren?	am Nordpol	am Sudpol	in beiden arktischen Regionen	in Sudaustralien	A	BIOLOGIE
7	Welche Farbe hat die Flagge Deutschlands nicht?	Schwarz	grun	gelb	rot	B	LaNDER
8	Wer hat ein Klavierkonzert fur die linke Hand geschrieben?	Franz Liszt	Ravel	Chopin	Rachmaninoff	B	OPER
1	Was fur "Augen" haben Fahrrader?	Adler	Katze	Maulwurf	Hund	B	TECHNIK
2	Welcher Teil unseres Korpers kann mit dem Fischei, dem Rogen, suffixiert werden?	Ohr	Schaden	Fuss	Taille	C	BIOLOGIE
3	Nach welchem priesterlichen Wurdentrager wurde eine Torte benannt?	Erzbischof	Bischof	Kanon	Kardinal	B	KuCHE
4	Welcher Teil des Rosenkohls wird gegessen?	sein Brief	Stengel	Knospen	Blume	C	KuCHE
5	Was bekam die Person, die Sepia geschenkt bekam?	Feldblume	Schokoladenkuchen	Tintenfisch	elegante Spirituosen	C	SPRACHE
1	Welches Tier hat laut dem bekannten Kinderlied "das Haus"?	Bar	Schnecke	Hund	Biene	B	ALLGEMEINES
2	Was war Ronald Reagans ursprunglicher Beruf?	Maler	Bildhauer	Schauspieler	Musiker	C	GESCHICHTE
3	Weiter so mit dem Spruch! "Aus einer Vogelfeder ein Mann..."	uber seine Familie	uber seinen Freund	uber seine Kleidung	uber seine Arbeit	B	SPRACHE
4	Wo geht der hin, der auf den Rasen geht?	zur Bank	zum Kasino	an die Borse	zur Rennstrecke	D	ALLGEMEINES
5	Was fur eine Frucht ist "die ungarische Orange" in der Erfolgskomodie The Witness?	Mandarin	Grapefruit	Zitrone	Kurbis	C	FILM
6	Welches Arbeitsmittel ist die Abtreibung?	Spinnen	Aussaat	weben	Ernte	C	TECHNIK
7	Welcher ungarische Fussballschiedsrichter wurde dreimal hintereinander der beste Schiedsrichter der Welt?	Alexander Puhl	Karoly Palotai	Istvan Zsolt	Laszlo Vagner	A	SPORT
8	Jozsef Egry wird der Maler welcher Region genannt?	der Plattensee	die Hortobagy	Budapest	Szeged	A	BILDENDE KUNST
9	Wer hat das Fliessbandsystem entwickelt, das erstmals im Automobilbau eingesetzt wurde?	Jozsef Galamb	Henry Ford	Laszlo Biro	Ludwig Renault	A	TECHNIK
1	Welcher "Kohl" ist der Name eines Gerichts?	kurz	schlampig	schmutzig	es wurde geschossen	B	KuCHE
2	Welche Edelsteinfarbe hat Rubin?	blau	rot	gelb	farblos	B	ALLGEMEINES
3	Welcher der folgenden ist der Name einer Rebsorte?	Desdemona	Othello	Romeo	gut	B	BIOLOGIE
4	Was wird als Tandem bezeichnet?	Frauenunterwasche	Zweisitzer Fahrrad	Illustrationswerkzeug fur Lehrer	Doppeldecker	B	SPRACHE
5	Welche Tiere sind in der beruhmten Statue namens Laokon-Gruppe zu sehen?	Adler	Schlangen	Lowen	Wolfe	B	BILDENDE KUNST
6	Vor welcher Krankheit schutzen Sabin Tropfen?	Diphtherie	Polio	Keuchhusten	Tuberkulose	B	BIOLOGIE
7	In welchem Schwimmen gewann agi Kovacs dreimal bei der Europameisterschaft 1999 in Istanbul?	im Freistilschwimmen	Ruckenschwimmen	im Schmetterling	beim Brustschwimmen	D	SPORT
8	Wer ist der Komponist von "Ungarische Tanze"?	Brahms	Franz Liszt	Sauerrahm	Erno Dohnanyi	A	OPER
9	Fur welchen Walt Disney Cartoon hat Elton John Songs komponiert?	Pocahontas	Konig der Lowen	Herkules	Aladdin	B	FILM
10	In welchem Land liegt die fur ihre Gestute beruhmte Stadt Lipica?	Kroatien	Slowenien	osterreich	Slowakei	B	LaNDER
11	Welches Musikinstrument wurde nach dem Wohnsitz der Musen benannt?	Schlager	Saiten	Geblase	Keyboarder	C	OPER
12	In welchem US-Bundesstaat liegt der Grand Canyon?	Nevada	Colorado	Arizona	Utah	C	ERDKUNDE
13	Wer besiegte Spartacus, den Anfuhrer der alten Sklavenrevolte?	Scipio	Pompejus	Julius Caesar	Crassus	D	GESCHICHTE
1	Wo soll man nach dem beruhmten Lied Truthahn kaufen?	Badacson	nach Debrecen	Zu einem Steinbruch	zu einer Putenfarm	B	ALLGEMEINES
2	Wo kommt man in ein Theater, das hinter die Buhne darf?	hinter dem Buffet	hinter der Kulisse	bis zur Saitendecke	in den Orchestergraben	B	ALLGEMEINES
3	Was war der Vorfahre des Velozipeds?	Nashorn	Sportschuhe	fliegend	Fahrrad	D	SPRACHE
4	Welche Sprache ist BASIC?	verbessertes Esperanto	verschlusselte Verschlusselung	Programmiersprache fur Computer	Vogelsprache	C	ALLGEMEINES
5	Welche ungarische Fussballvereinsmannschaft hat bis dahin die meisten Meisterschaften gewonnen?	Kispest Honved	ujpest	Eisen	Ferencvaros	D	SPORT
6	Kopra ist das getrocknete Fruchtfleisch welcher Pflanze?	Kiwi	Kokosnuss	Litschi	Cashewnusse	B	BIOLOGIE
7	Welche Bahnhofshalle hat die Firma Eiffel gebaut?	Sudbahnhof	Ostbahnhof	Jozsefvaros-Bahnhof	Westbahnhof	D	ALLGEMEINES
8	Wer trug die ungarische Flagge bei den Olympischen Spielen in Atlanta?	Tibor Benedikt	Zsolt Gyulai	Istvan Kovacs	Bence Szabo	D	SPORT
9	Wie heisst das judische Pessach?	Pessach	Purim	Jom Kippur	Matze	A	RELIGION
1	Welches Mittagsobst steckt im Titel von Bartoks "wunderbarem" Tanzstuck?	Feige	Banane	Mandarin	Kokosnuss	C	OPER
2	Was ist die Eigenschaft des Kaninchens?	Selten	multiplizieren	Clever	Abzug	B	ALLGEMEINES
3	Was halt Himmelskorper auf ihren Bahnen?	der Luftwiderstand	Schwere	die Lichtgeschwindigkeit	die Sattigung	B	WISSENSCHAFT
4	Welche alten Menschen trugen die Tunika?	der Sumerer	der agypter	der Romer	der Chinesen	C	GESCHICHTE
5	Welche ist die vorherrschende Religion in Indien?	Hindu-	Buddhist	Sikh	Muslim	A	RELIGION
1	Wie nennt man Zahne, die in der Kindheit ausfallen?	Milchzahn	Wasserzahn	Sagezahn	Tee Zahn	A	BIOLOGIE
2	Welches Land ist Kanadas einziger Nachbar?	Brasilien	Mexiko	Russland	Vereinigte Staaten von Amerika	D	ERDKUNDE
3	Welches Lebewesen war das erste, das in den Weltraum reiste?	Hund	Katze	Affe	Meerschweinchen	A	ALLGEMEINES
4	Was ist der Hauptrohstoff fur die Porzellanherstellung?	Quarz	Harz	Kaolin	Polystyrol	C	TECHNIK
1	Welche Frucht reift laut einem ungarischen Volkslied, wenn sich der Stock biegt?	Orange	Banane	Melone	Solo	D	ALLGEMEINES
2	Von welchem unserer Mannernamen stammt der Name einer Art schicker Mantel?	Attila	Levente	Kleben Sie es	Quatsch	A	ALLGEMEINES
3	Was fur ein Tier ist ein Dromedar?	ein einhockriges Kamel	zweihockriges Kamel	die Nachkommen eines Esels und eines Maultiers	Nachkommen von Pferd und Maultier	A	BIOLOGIE
4	In welchem Land sind Meteora-Kloster zu sehen?	in Bulgarien	in der Turkei	in Russland	in Griechenland	D	LaNDER
5	Das Centre Pompidou ist ein modernes Gebaude in welcher Stadt?	Bordeaux	Paris	Genf	Montreal	B	LaNDER
6	Konigin Christina, die im Film von Greta Garbo dargestellt wurde, war die Herrscherin welchen Landes?	Norwegen	Danemark	Schweden	Finnland	C	GESCHICHTE
7	Tuberkulose ist eine Erkrankung welchen Organs?	des Zahns	die Leber	der Haut	der Lunge	D	BIOLOGIE
8	Welcher ungarische Fussballer war der meistgewahlte Spieler?	Laszlo Fazekas	Nandor Hidegkuti	Albert Florian	Jozsef Bozsik	D	SPORT
1	Welches Gartengerat kann schon mal "kaputt gehen", wie das Sprichwort sagt?	das Horn des Pfluges	der Griff	das Sprinklerrohr	die Gartenschere	B	SPRACHE
2	Welche Rockoper uber unseren Konig hat das Autorenehepaar Szorenyi-Brody 1983 geschrieben?	uber den Heiligen Laszlo	uber den heiligen Stephan	uber Kalman Konyves	uber Konig Matthias	B	MUSIK
3	Wie nennt man eine Substanz, die die Geschwindigkeit chemischer Prozesse verandert?	Katalysator	Katapult	Katalog	Katharsis	A	WISSENSCHAFT
4	In welchen der folgenden Lander reisen die meisten Menschen mit dem Fahrrad?	Indien	Vereinigte Staaten	China	Frankreich	C	ALLGEMEINES
5	Wie heisst Tarzans Partner?	Maria	Jill	Jane	Vorabend	C	FILM
6	Fur wie viel Geld hat Judas Jesus verraten?	fur funfzig Gold	fur dreissig Silberlinge	fur vierzig Silberlinge	fur zwanzig Gold	B	RELIGION
7	Wie heisst das bekannteste Werk von Charles Darwin?	Die Affen und wir	Entwicklung und was	Die Entstehung der Arten	Der Ursprung des Homo Sapiens	C	BIOLOGIE
8	Was unternimmt die Person, die das Koma akzeptiert hat?	die Schwiegereltern	Paten	Stiefmutter	Der brautigam	B	ALLGEMEINES
9	Wer oder wer wurde im gleichnamigen Western-Klassiker von den sieben Scharfschutzen beschutzt?	der amerikanische Prasident	ein mexikanisches Dorf	Du totest Gangster	ein Apachenstamm	B	FILM
1	uber welche Tiere hat Andrew Lloyd Webber ein Musical geschrieben?	uber Elefanten	uber Baren	uber Katzen	uber Fledermause	C	MUSIK
2	In welches Meer mundet die Donau?	in die Adria	zum Mittelmeer	ins Schwarze Meer	zum Marmarameer	C	ERDKUNDE
3	Was ist die Ludolf-Zahl, also der gerundete Wert von "pi"?	3,14	4,25	1,34	3,33	A	WISSENSCHAFT
4	Was ist ein Libretto?	eine neue Art des Glucksspiels	Warenkredit	Lehrbuch musikalischer Werke	Sklaven befreien	C	SPRACHE
5	Welches Tier hat Jona in der Bibel verschluckt?	Nilpferd	Krokodil	Cethal	Lowe	C	RELIGION
6	Tango war ursprunglich ein Tanz aus welchem Land?	Argentinien	Portugal	Spanien	Brasilien	A	LaNDER
1	Laut dem bekannten Kinderlied, welches Haustierkind hat weder Ohren noch Schwanz?	Schiessen	Ziege	Kuh	Schaf	C	ALLGEMEINES
2	Welches unserer Organe behandelt der Kardiologe?	unsere Herzen	unsere Augen	unsere Zahne	unsere Lunge	A	BIOLOGIE
3	Was macht jemand, der schnaubt?	Bucher	Hammer	vermasselt	schlagt Geld	C	SPRACHE
4	Arbeiter welcher Berufe werden am ersten Sonntag im Juni gefeiert?	die Lehrer	die arzte	die Bergleute	die Polizisten	A	ALLGEMEINES
5	Aus wessen Roman entstand das Musical "Ritter von La Mancha"?	Victor Hugo	Cervantes	Boccaccio	Dickens	B	LITERATUR
6	Ravi Shankar ist der Musiker welchen besonderen Instruments?	Sitar	Konga	Tabla	Himmlisch	A	OPER
7	Wie hiess die Gedichtsammlung mit dem Spatwerk von Janos Arany?	Erinnerungen	Epilog	Herbstliche	Erinnerungsbuch	C	LITERATUR
8	Wer lebte in der Verbotenen Stadt?	Mongolische Khane	Indische Maharadschas	Chinesische Kaiser	Tibetische Monche	C	GESCHICHTE
9	Von wem haben die sowjetischen Flugzeuge vom Typ Tupolew ihren Namen?	uber einen fleissigen Mechaniker	vom ersten Piloten	uber den Leiter des Konstruktionsburos	uber den Fabrikdirektor	C	TECHNIK
10	Welche Fellfarbe hat das Hermelin im Sommer?	Schwarz	grau	braun	Weiss	C	BIOLOGIE
11	Wonach hat die Band U2 ihren Namen gewahlt?	von einem Atom-U-Boot	von einem Spionagesatelliten	von einem Aufklarungsflugzeug	vom Mutterschiff	C	MUSIK
9	Was bedeutet "Gaudeamus", der Titel des Abschlussliedes, auf Ungarisch?	Lass uns gehen!	Lass uns Spass haben!	Verabschieden wir uns!	Lass uns fur heute leben!	B	SPRACHE
