Difficulty	Question	THE	B	C	D	Answer	Category
5	Which opera did Verdi write about the opening of the Suez Canal?	the Rigoletto	Othello	the Traviata	the Aida	D	OPERA
6	What is the traditional title of the English heir to the throne?	Lord Mayor	infantile	Duke of Windsor	prince of wales	D	GENERAL
7	Who said that there is no loser in creation but him?	Hamlet	Sorry, sorry	Adam	Romeo	B	LITERATURE
8	In which city were the equestrian events of the 1956 Melbourne Olympics held?	Stockholm	Sydney	London	Wellington	A	SPORTS
1	What can be seen on the flag of Turkey?	a crescent moon	half a day	half a cloud	a half lightning	A	COUNTRIES
2	In old families, my guardian is considered almost a family member. Who was he?	the snotty neighbor	the courting fess guardsman	the lady escort	the faithful eb	C	GENERAL
3	What is Alexander Bell's invention used for?	for motorcycling	for calling	for flight	to telegraph	B	TECHNIQUE
4	How many number systems is the binary number system?	ten	seven	twelve	two	D	SCIENCE
5	What instrument did Stradivari become famous for?	piano	guitar	violin	double bass	C	OPERA
6	Freddie Mercury was the lead singer of which rock band?	AC/DC	Rolling Stones	Queen	Led Zeppelin	C	MUSIC
7	What American scandal is the movie The President's Men about?	about the Lewinsky affair	about the Kennedy assassination	about the Watergate affair	about the Reagan assassination	C	MOVIE
8	Who was the jackal-headed god in Egyptian mythology?	Osiris	You taste	Anubis	Amon-Re	C	RELIGION
9	Which relative of cocoa is used to produce soft drinks?	the ginger	the cola nut	the coca bush	the quinine	B	KITCHEN
10	Which of our boxers won the silver medal at the 1972 Munich Olympics in the relay weight?	Janos Kajdi	Gyorgy Gedo	Andras Botos	Laszlo Orban	A	SPORTS
1	How does the saying that we will soon get more money express?	the leg of the money rain is hanging	the juice looks in through the window	who gets up early, finds a full box	there is money in the house	D	LANGUAGE
2	Which of the following is the name of a chess piece?	bitch	labanc	hussar	Hajdu	C	GAME
3	What did you get who has e-mail on your computer?	new hard drive	electronic mail	expansion card	new floppy disk	B	GENERAL
4	FIFA is the international federation of which sport?	wrestling	basketball	football	cycling	C	SPORTS
5	Which of the following is your ball?	criminal instrument	a weed	football in the old days	singing bird	B	LANGUAGE
6	Which country is not an island country?	Sri Lanka	Ireland	Honduras	Taiwan	C	GEOGRAPHY
1	Which kitchen tool can be prefixed to the word cannon?	funnel	file	mortar	sieve	C	KITCHEN
2	What "car" is in the title of the legendary 1934 Hungarian film?	miracle	curvy	tale	fourteen carats	C	MOVIE
3	Which of the following initiates the explosion of the gas mixture in the internal combustion engine?	fuse	focal lens	spark plug	detonator	C	TECHNIQUE
4	What is the nickname of the frontman of the band Republic?	Shoe	Shoe	Slippers	Hobo	A	MUSIC
5	What does a person who likes anagrams like?	an ancient type of poem	a food specialty	collecting small objects	language games	D	LANGUAGE
6	Where do polar bears live?	at the North Pole	at the South Pole	in both arctic regions	in South Australia	A	BIOLOGY
7	What color is not in the flag of Germany?	black	green	yellow	red	B	COUNTRIES
8	Who wrote a piano concerto for the left hand?	Ferenc Liszt	Ravel	Chopin	Rachmaninoff	B	OPERA
1	What kind of "eyes" do bicycles have?	eagle	cat	mole	dog	B	TECHNIQUE
2	Which part of our body can be suffixed with the fish egg, the roe?	ear	damage	foot	waist	C	BIOLOGY
3	A cake was named after which priestly dignitary?	archbishop	bishop	canon	cardinal	B	KITCHEN
4	Which part of Brussels sprouts is eaten?	his letter	stem	buds	flower	C	KITCHEN
5	What did the person who was given sepia as a gift get?	field flower	chocolate cake	squid	elegant spirits	C	LANGUAGE
1	According to the well-known children's song, which animal's "house is here"?	bear	snail	dog	Bee	B	GENERAL
2	What was Ronald Reagan's original occupation?	painter	sculptor	actor	musician	C	HISTORY
3	Keep the saying going! "From a bird's feather, a man..."	about his family	about his friend	about his clothes	about his work	B	LANGUAGE
4	Where does he go who goes on the turf?	to the bank	to the casino	to the stock market	to the racetrack	D	GENERAL
5	What kind of fruit is "the Hungarian orange" in the hit comedy The Witness?	Mandarin	grapefruit	citron	pumpkin	C	MOVIE
6	Which work tool is the abortion?	spinning	sowing	weave	harvest	C	TECHNIQUE
7	Which Hungarian football referee became the best referee in the world three times in a row?	Alexander Puhl	Karoly Palotai	Istvan Zsolt	Laszlo Vagner	A	SPORTS
8	Jozsef Egry is called the painter of which region?	the Balaton	the Hortobagy	Budapest	Szeged	A	FINE ARTS
9	Who designed the assembly line system first used in car manufacturing?	Jozsef Galamb	Henry Ford	Laszlo Bíro	Louis Renault	A	TECHNIQUE
1	Which "cabbage" is the name of a dish?	short	sloppy	dirty	it was shot	B	KITCHEN
2	What color gemstone is ruby?	blue	red	yellow	colorless	B	GENERAL
3	Which of the following is the name of a grape variety?	Desdemona	Othello	romeo	prospero	B	BIOLOGY
4	Which of the following is called a tandem?	women's underwear	two-seater bicycle	teacher's illustration tool	biplane	B	LANGUAGE
5	What animals can be seen in the famous statue called the Laokon group?	eagles	snakes	lions	wolves	B	FINE ARTS
6	Which disease do Sabin drops protect against?	diphtheria	polio	whooping cough	tuberculosis	B	BIOLOGY
7	In which swimming did agi Kovacs win three times at the 1999 European Championships in Istanbul?	in freestyle swimming	backstroke	in butterfly	in breaststroke	D	SPORTS
8	Who is the composer of "Hungarian dances"?	Brahms	Ferenc Liszt	Sour cream	Ern Dohnanyi	A	OPERA
9	For which Walt Disney cartoon did Elton John compose songs?	Pocahontas	Lion King	Hercules	Aladdin	B	MOVIE
10	In which country is the town of Lipica, famous for its studs, located?	Croatia	Slovenia	Austria	Slovakia	B	COUNTRIES
11	What musical instrument was named after the abode of the muses?	racket	strings	blower	keyboardist	C	OPERA
12	In which US state is the Grand Canyon located?	Nevada	Colorado	Arizona	Utah	C	GEOGRAPHY
13	Who defeated Spartacus, the leader of the ancient slave revolt?	Scipio	Pompey	Julius Caesar	Crassus	D	HISTORY
1	Where should you go to buy turkey cock according to the famous song?	Badacsony	to Debrecen	To a quarry	to a turkey farm	B	GENERAL
2	Where does one get in a theater who is allowed backstage?	behind the buffet	behind the scenery	to the string ceiling	into the orchestra pit	B	GENERAL
3	What was the ancestor of the velocipede?	rhinoceros	gym shoes	flying	bicycle	D	LANGUAGE
4	What language is BASIC?	improved Esperanto	coded encryption	computer programming language	bird language	C	GENERAL
5	Which Hungarian football club team won the most championships until then?	Kispest Honved	ujpest	Iron	Ferencvaros	D	SPORTS
6	Copra is the dried flesh of which plant?	Kiwi	coconut	lychee	cashew nuts	B	BIOLOGY
7	Which station hall did the Eiffel company build?	South Station	East railway station	Jozsefvaros railway station	West Railway Station	D	GENERAL
8	Who carried the Hungarian flag at the Atlanta Olympics?	Tibor Benedict	Zsolt Gyulai	Istvan Kovacs	Bence Szabo	D	SPORTS
9	What is the Jewish Passover called?	Pesach	Purim	Yom Kippur	matzo	A	RELIGION
1	What midday fruit is in the title of Bartok's "wonderful" dance play?	fig	banana	Mandarin	coconut	C	OPERA
2	What is the characteristic of the rabbit?	rare	multiply	smart	trigger	B	GENERAL
3	What keeps celestial bodies in their orbits?	the air resistance	gravity	the speed of light	the saturation	B	SCIENCE
4	Which ancient people wore the tunic?	of the Sumerians	of the Egyptians	of the Romans	of the Chinese	C	HISTORY
5	Which is the dominant religion in India?	Hindu	Buddhist	Sikh	Muslim	A	RELIGION
1	What do we call teeth that fall out in childhood?	baby tooth	water tooth	saw tooth	tea tooth	A	BIOLOGY
2	Which country is Canada's only neighbor?	Brazil	Mexico	Russia	USA	D	GEOGRAPHY
3	What living creature was the first to travel to outer space?	dog	cat	monkey	guinea pig	A	GENERAL
4	What is the main raw material for porcelain production?	quartz	resin	kaolin	polystyrene	C	TECHNIQUE
1	According to a Hungarian folk song, which fruit ripens when the cane bends?	orange	banana	melon	solo	D	GENERAL
2	From which of our men's names does the name of a type of fancy coat come?	Attila	Levente	Stick it	Bullshit	A	GENERAL
3	What kind of animal is a dromedary?	a one-humped camel	two-humped camel	the offspring of a donkey and a mule	offspring of horse and mule	A	BIOLOGY
4	In which country can Meteora monasteries be seen?	in Bulgaria	in Turkey	in Russia	in Greece	D	COUNTRIES
5	The Pompidou Center is a modern building in which city?	Bordeaux	Paris	Geneva	Montreal	B	COUNTRIES
6	Queen Christina, who was portrayed by Greta Garbo on film, was the ruler of which country?	Norway	Denmark	Sweden	Finland	C	HISTORY
7	Tuberculosis is a disease of which organ?	of the tooth	the liver	of the skin	of the lungs	D	BIOLOGY
8	Which Hungarian footballer was the most selected player?	Laszlo Fazekas	Nandor Hidegkuti	Albert Florian	Jozsef Bozsik	D	SPORTS
1	Which garden tool can sometimes "break" as the saying goes?	the horn of the plough	the hilt	the sprinkler pipe	the pruning shears	B	LANGUAGE
2	Which rock opera about our king did the author couple Szorenyi-Brody write in 1983?	About Saint Laszlo	About Saint Stephen	About Kalman Konyves	About King Matthias	B	MUSIC
3	What do you call a substance that changes the speed of chemical processes?	catalyst	catapult	catalog	catharsis	A	SCIENCE
4	In which of the following countries do most people travel by bicycle?	India	United States	China	France	C	GENERAL
5	What is the name of Tarzan's partner?	Mary	Jill	Jane	Eve	C	MOVIE
6	How much money did Judas betray Jesus for?	for fifty gold	for thirty pieces of silver	for forty pieces of silver	for twenty gold	B	RELIGION
7	What is the title of Charles Darwin's best-known work?	The monkeys and us	Evolution and what	The origin of species	The origin of homo sapiens	C	BIOLOGY
8	What does the person who has accepted the coma undertake?	the in-laws	godparents	step-parenting	the bridegroom	B	GENERAL
9	Who or who were protected by the seven snipers in the classic western movie of the same name?	the American president	a Mexican village	you kill mobsters	an Apache tribe	B	MOVIE
1	What animals did Andrew Lloyd Webber write a musical about?	about elephants	about bears	about cats	about bats	C	MUSIC
2	Which sea does the Danube flow into?	into the Adriatic Sea	to the Mediterranean Sea	into the Black Sea	to the Sea of Marmara	C	GEOGRAPHY
3	What is Ludolf's number, i.e. the rounded value of "pi"?	3,14	4,25	1,34	3,33	A	SCIENCE
4	What is a libretto?	a new kind of gambling	goods credit	text book of musical works	freeing slaves	C	LANGUAGE
5	What animal swallowed Jonah in the Bible?	hippopotamus	crocodile	cethal	Lion	C	RELIGION
6	Tango was originally a dance from which country?	Argentina	Portugal	Spain	Brazil	A	COUNTRIES
1	According to the well-known children's song, which pet's child has neither ears nor tail?	Shoot	goat	cow	sheep	C	GENERAL
2	Which of our organs does the cardiologist treat?	our hearts	our eyes	our teeth	our lungs	A	BIOLOGY
3	What does someone who snorts do?	books	hammers	screws up	beats money	C	LANGUAGE
4	Workers of which profession are celebrated on the first Sunday of June?	the teachers	the doctors	the miners	the policemen	A	GENERAL
5	From whose novel was the musical "Knight of La Mancha" made?	Victor Hugo	Cervantes	Boccaccio	Dickens	B	LITERATURE
6	Ravi Shankar is the musician of which special instrument?	sitar	conga	tabla	Celestial	A	OPERA
7	What was the title of the collection of poems containing the late works of Janos Arany?	Memories	Epilogue	Autumn ones	Memory book	C	LITERATURE
8	Who lived in the Forbidden City?	Mongol Khans	Indian maharajas	Chinese emperors	Tibetan monks	C	HISTORY
9	Who did the Soviet Tupolev type aircraft get their name from?	about a hard-working mechanic	from the first pilot	about the head of the design office	about the factory director	C	TECHNIQUE
10	What color is the ermine's fur in summer?	black	gray	brown	white	C	BIOLOGY
11	What did the band U2 choose their name from?	from a nuclear submarine	from a spy satellite	from a reconnaissance aircraft	from mother ship	C	MUSIC
9	What does "Gaudeamus", the title of the graduation song, mean in Hungarian?	Let's go!	Let's have fun!	Let's say goodbye!	Let's live for today!	B	LANGUAGE
1	How does the saying go: "Who sows, ..."	he mows like that	harvest like that	it stays that way	it rakes like that	B	LANGUAGE
2	What do you make of plums when you make sylvorium?	jam	soup	brandy	canned food	C	KITCHEN
3	What was the former name of Margaret Island?	Island of Rabbits	Deer Island	Island of monasteries	Island of priests	A	HISTORY
4	What good is a dress if it has a slip?	barge	veil	haircut	her petticoat	A	GENERAL
5	What will posterity call Lujza Blaha?	the Avon Swan	the most melodious Hungarian	the nightingale of the nation	the old woman	C	THEATER
6	What is the origin of the comic book and movie hero Asterix?	Gaul	Norman	vandal	viking	A	MOVIE
7	What is gummy made of?	from goat's milk	from rye	from mare's milk	of poppies	C	KITCHEN
8	How many square meters are in a hectare?	50 000	100 000	10 000	1 000	C	SCIENCE
9	Which of the following musicals was the last to be composed by Andrew Lloyd Webber?	Cats	Evita	Jesus Christ Superstar	The Phantom of the Opera	D	MUSIC
1	What is the traditional dress of Japanese women?	bikini	hara-kiri	monokini	kimono	D	GENERAL
2	A popular breaded meat dish is named after which capital city?	Vienna	London	Berlin	Warsaw	A	KITCHEN
3	What do we call the glowing liquid pouring out of a volcanic crater?	glacier	lava	geyser	Avalanche	B	GEOGRAPHY
4	What kind of "parcel" are narrow fields called?	trouser leg	pants brake	belt	suspenders	C	LANGUAGE
5	How many Hungarian kings were canonized?	one	two	dew	four	B	HISTORY
6	Tchaikovsky wrote ballet music about which Grimm fairy tale character?	About Sleeping Beauty	About Snow White	About Cinderella	About Matyi Huvelyk	A	OPERA
7	Which is the largest planet in the solar system?	Uranus	Jupiter	Pluto	Saturn	B	SCIENCE
8	Which is the smallest island state in Europe?	Malta	Cyprus	Iceland	Ireland	A	GEOGRAPHY
9	Where is the Balaton Museum located?	Keszthely	Siofok	Balatonfured	Fonyod	A	HUNGARY
10	Which play takes place during the Thirty Years' War?	The Virgin of Orleans	The obsitos	Crazy mom	Torch flame	C	LITERATURE
