Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
7	Melyik hires tortenelmi szemelyisegunk neve van helytelenul leirva?	Kossuth Lajos	Vorosmarty Mihaly	Szechenyi Istvan	Batthany Lajos	D	NYELV
8	Ki nem jatszotta Batman partnernojet az alabbi szinesznok kozul?	Kim Basinger	Nicole Kidman	Isabella Rossellini	Michelle Pfeiffer	C	FILM
9	Kinek a kepe lathato a magyar kartya zold alsojan?	Rudenz Ulrich	Reding Itell	Furst Walter	Harras Rudolf	C	JaTeK
10	Milyen az utszel Toth arpad aprilisi capriccio cimu verseben?	esoaztatta	naptol tuzes	csupa pitypang	madardaltol hangos	C	IRODALOM
1	Mit szeret az az ember, akit rongyrazonak neveznek?	nagyzolni	tancolni	mosogatni	port torolni	A	aLTALaNOS
2	Melyik orszag allamelnoke Fidel Castro?	Mexiko	Jamaica	Kuba	Panama	C	ToRTeNELEM
3	Melyik kemiai elemet hasznaljak a viz fertotlenitesere?	a bromot	a mangant	a klort	a magneziumot	C	TUDOMaNY
4	Mit neveztek a regi magyarok Hadak utjanak?	a honfoglalas utvonalat	a Tejutat	a Becs fele vezeto foutat	a naszutat	B	ToRTeNELEM
5	Az alabbiak kozul melyiket nevezik bricskanak?	vitorlas hajot	lovas kocsit	zsebkest	terdnadragot	B	NYELV
6	Kirol neveztek el vulkannak a tuzhanyokat?	egy romai istenrol	egy mongol uralkodorol	egy szigetrol	egy okori varosrol	A	NYELV
7	Meddig nevezunk egy tehenet uszonek?	egy honapos koraig	mig nem ellik	ket eves koraig	az utolso ellesig	B	BIOLoGIA
8	Hogy "becezik" a parizsiak az Eiffel-tornyot?	az orias	a furotorony	a zsiraf	az oreg holgy	D	aLTALaNOS
9	Melyik rockzenesz kapta 2000-ben a legtobb Grammy-dijat?	Phil Collins	Stevie Wonder	Carlos Santana	Eric Clapton	C	ZENE
10	Hanyas szamu mezt viselte Puskas ocsi az Aranycsapatban?	10-es	9-es	8-as	11-es	A	SPORT
11	Kinek a meseje alapjan irta meg Ranki Gyorgy a "Pomade kiraly uj ruhaja" cimu operat?	Grimm-testverek	Benedek Elek	La Fontaine	Andersen	D	OPERA
1	Hogy hivjak a palinkafozeshez erjesztett gyumolcslet?	cifra	cefre	cvikker	cekker	B	KONYHA
2	Mit jeleznek oktanszamokkal?	loversenyek helyezeseit	az acel terhelhetoseget	a benzin minoseget	hangterjedelmet	C	aLTALaNOS
3	Melyik ma is elo allat hossza haladhatja meg a 30 metert?	palackorru delfin	kekbalna	robusztuskigyo	gigantoteknos	B	BIOLoGIA
4	Melyik fegyverrol kapta nevet a szamitogep merev magneslemezes taroloja?	a torpedorol	a revolverrol	a winchesterrol	a coltrol	C	aLTALaNOS
5	Melyik fa levele lathato Kanada cimereben?	juhar	tolgy	gyertyan	nyir	A	ORSZaGOK
6	Hol latogathatjuk meg Magyarorszagon a Kovacs Margit Muzeumot?	Kaposvaron	Pecsett	Papan	Szentendren	D	MAGYARORSZaG
7	Milyen rokont neveztek ipanak?	az apost	az anyost	a sogort	a nagybacsit	A	aLTALaNOS
8	Mi a neve a szegedi domnak?	Szent Istvan szekesegyhaz	Fogadalmi templom	Szent Gyorgy-templom	Kalvaria-templom	B	VALLaS
9	Melyik magyar egyuttes nagylemeze volt a "Zenegep"?	Fonograf	General	Karthago	Corvina	B	ZENE
10	Kit gyozott le Cornelius Scipio Kr.e. 202-ben a zamai csataban?	Nagy Sandort	Spartacust	Hannibalt	Dareioszt	C	ToRTeNELEM
11	Melyik sportagban szereztuk elso vilagbajnoki aranyermunket?	asztaliteniszben	vivasban	mukorcsolyaban	sportloveszetben	C	SPORT
1	Mi a varganya?	suszterinas	gombafajta	gazlomadarfajta	cipeszszerszam	B	NYELV
2	Kije volt Rocinantenek don Quijote?	lova	gazdaja	szolgaloja	szerelme	B	IRODALOM
3	Mirol hires a milanoi Scala?	operaeloadasairol	spagettijerol	fagylaltjarol	asvanytani kiallitasairol	A	aLTALaNOS
4	Az alabbiak kozul melyik egy egyarbocos vitorlas neve?	dingi	dine	dimer	dzsigg	A	SPORT
5	Melyik hangszer muvesze volt Racz Aladar?	cimbalom	citera	cseleszta	klarinet	A	OPERA
6	Mi az okori egyiptomiak szent bogaranak, a szkarabeusznak a mai neve?	szarvasbogar	katicabogar	galacsinhajto bogar	korisbogar	C	BIOLoGIA
7	Hol tortent a "palfordulas"?	Tarsusban	Jeruzsalemben	a damaszkuszi uton	a Romaba vezeto uton	C	ToRTeNELEM
8	Kik voltak a negusok?	kozep-afrikai torzs	etiop csaszarok	amerikai rabszolgak	pretoriai polgarjogi harcosok	B	ToRTeNELEM
1	Milyen eszkozrol nevezetes Gabor aron?	rezagyurol	vizagyurol	viharagyurol	gulyasagyurol	A	ToRTeNELEM
2	Milyen etelt neveztek el a Fekete gyemantok irojarol?	tyukhuslevest	marhahuslevest	bablevest	a feketelevest	C	IRODALOM
3	Melyik Parizs folyoja?	Szajna	Rhone	Garonne	Loire	A	FoLDRAJZ
4	Melyik egyuttes slagere volt a "The Wall"?	Pink Floyd	Genesis	Rolling Stones	Queen	A	ZENE
5	Melyik orszagban uralkodott a Napkiraly?	Franciaorszag	Oroszorszag	Ausztria	Spanyolorszag	A	ToRTeNELEM
6	Mi a kapcsolat Pollack Mihaly es a Nemzeti Muzeum epulete kozott?	o volt az elso igazgatoja	o tervezte	adomannyal segitette	o restauralta	B	ToRTeNELEM
7	Milyen alaku bakteriumok a bacilusok?	palcika	gomb	csavar	kup	A	BIOLoGIA
8	Hany staciot jart vegig Jezus Krisztus a keresztuton?	7	14	10	12	B	VALLaS
9	Ki fedezte fel a penicilint?	Sir Alexander Fleming	Paul Ehrlich	Howard Temin	Robert Koch	A	BIOLoGIA
10	Melyik varos hires strandja a Copacabana?	Barcelona	Rio de Janeiro	Havanna	Buenos Aires	B	ORSZaGOK
11	Ki nem jatszotta a legendas James Bondot?	Sean Connery	George Lazenby	Timothy Hutton	Timothy Dalton	C	FILM
12	Ki volt a legnagyobb ragtime-zeneszerzo?	Scott Joplin	Irving Berlin	Glenn Miller	Cole Porter	A	ZENE
13	Mit jelent magyarul a meg ma is letezo mohikan torzs neve?	a boleny fia	sebes lo	medve	farkas	D	NYELV
1	Mire hasznaljak a franciakulcsot?	a Louvre bezarasara	erenyovek nyitasara	anyacsavar meghuzasara	nyelvtanulasra	C	aLTALaNOS
2	Melyik vasari szorakozohelyrol kapta cimet Fabri Zoltan klasszikus filmje?	Cellovolde	Hullamvasut	Korhinta	Vurstli	C	FILM
3	Mikor izzik a galagonya ruhaja Weores Sandor verseben?	amikor felprobalja	ha tuzbe tartjak	oszi ejjel	szedes kozben	C	IRODALOM
4	Ki tervezte az Orszaghaz epuletet?	Lotz Karoly	Steindl Imre	Schulek Frigyes	Alpar Ignac	B	ePiTeSZET
5	Melyik operat irta Verdi a Szuezi-csatorna megnyitasa kapcsan?	a Rigolettot	az Otellot	a Traviatat	az Aidat	D	OPERA
6	Mi az angol tronorokos hagyomanyos cime?	Lord Mayor	infans	windsori herceg	walesi herceg	D	aLTALaNOS
7	Ki mondta, hogy nincs a teremtesben vesztes, csak o?	Hamlet	Bank ban	adam	Romeo	B	IRODALOM
8	Melyik varosban rendeztek az 1956-os melbourne-i olimpia lovasversenyeit?	Stockholm	Sydney	London	Wellington	A	SPORT
1	Mi lathato Torokorszag zaszlajan?	egy felhold	egy fel nap	egy fel felho	egy fel villam	A	ORSZaGOK
2	A regi csaladoknal a gardedam szinte csaladtagnak szamit. Ki volt o?	a kotnyeles szomszed	az udvarlo fess gardatiszt	a holgykisero	a huseges eb	C	aLTALaNOS
3	Mire hasznaljak Alexander Bell talalmanyat?	motorozasra	telefonalasra	repulesre	tavirasra	B	TECHNIKA
4	Hanyas szamrendszer a binaris szamrendszer?	tizes	hetes	tizenkettes	kettes	D	TUDOMaNY
5	Milyen hangszer keszitojekent valt hiresse Stradivari?	zongora	gitar	hegedu	nagybogo	C	OPERA
6	Melyik rock-egyuttes enekese volt Freddie Mercury?	AC/DC	Rolling Stones	Queen	Led Zeppelin	C	ZENE
7	Amerika melyik botranyarol szol Az elnok emberei cimu film?	a Lewinsky-ugyrol	a Kennedy-gyilkossagrol	a Watergate-ugyrol	a Reagan-merenyletrol	C	FILM
8	Ki volt a sakalfeju isten az egyiptomi mitologiaban?	Ozirisz	izisz	Anubisz	amon-Re	C	VALLaS
9	A kakao melyik rokonat hasznaljak uditoital gyartasara?	a gyombert	a koladiot	a kokacserjet	a kinint	B	KONYHA
10	Melyik okolvivonk nyert ezustermet az 1972-es muncheni olimpian valtosulyban?	Kajdi Janos	Gedo Gyorgy	Botos Andras	Orban Laszlo	A	SPORT
1	Hogyan fejezi ki a mondas, hogy hamarosan nagyobb penzosszegre teszunk szert?	log a penzeso laba	benez a le az ablakon	ki koran kel, telt bukszat lel	penz all a hazhoz	D	NYELV
2	Az alabbiak kozul melyik egy sakkfigura elnevezese?	kuruc	labanc	huszar	hajdu	C	JaTeK
3	Mit kapott, akinek a szamitogepen e-mail van?	uj merevlemezt	elektronikus levelet	bovitokartyat	uj hajlekonylemezt	B	aLTALaNOS
4	Melyik sportag nemzetkozi szovetsege a FIFA?	birkozas	kosarlabda	labdarugas	kerekparozas	C	SPORT
5	Az alabbiak kozul ki vagy mi a laboda?	buntetoeszkoz	gyomnoveny	a labdarugo regiesen	enekesmadar	B	NYELV
6	Melyik orszag nem szigetorszag?	Sri Lanka	irorszag	Honduras	Tajvan	C	FoLDRAJZ
1	Melyik konyhai eszkoz lehet az agyu szo elotagja?	tolcser	reszelo	mozsar	szita	C	KONYHA
2	Milyen "auto" szerepel a legendas 1934-es magyar film cimeben?	csoda	kurblis	mese	tizennegy karatos	C	FILM
3	Az alabbiak kozul melyik inditja meg a gazkeverek robbanasat a belsoegesu motorban?	gyujtozsinor	gyujtolencse	gyujtogyertya	gyutacs	C	TECHNIKA
4	Hogy becezik a Republic egyuttes frontemberet?	Cipo	Cipo	Papucs	Hobo	A	ZENE
5	Mit szeret az, aki kedveli az anagrammakat?	egy okori versfajtat	egy etelkulonlegesseget	kisebb targyak gyujteset	nyelvi jatekokat	D	NYELV
6	Hol elnek a jegesmedvek?	az eszaki-sarkon	a Deli-sarkon	mindket sarkvideken	Del-Ausztraliaban	A	BIOLoGIA
7	Milyen szin nem szerepel Nemetorszag zaszlajaban?	fekete	zold	sarga	voros	B	ORSZaGOK
8	Ki irt zongoraversenyt balkezre?	Liszt Ferenc	Ravel	Chopin	Rahmanyinov	B	OPERA
1	Milyen "szem" van a kerekparokon?	sas	macska	vakond	kutya	B	TECHNIKA
2	Mely testreszunknek lehet utotagja a halak peteje, az ikra?	ful	kar	lab	derek	C	BIOLoGIA
3	Melyik papi meltosagrol kapta nevet egy sutemeny?	ersek	puspok	kanonok	biboros	B	KONYHA
4	Melyik reszet fogyasztjak a kelbimbonak?	levelet	szarat	rugyeit	viragat	C	KONYHA
5	Mit kapott az az ember, akinek szepiat vittek ajandekba?	mezei viragot	csokolades sutemenyt	tintahalat	elegans szeszes italt	C	NYELV
1	Melyik allatnak "eg a haza ideki" az ismert gyermekdal szerint?	medve	csiga	kutya	mehecske	B	aLTALaNOS
2	Mi volt az eredeti foglalkozasa Ronald Reagannek?	festo	szobrasz	szinesz	zenesz	C	ToRTeNELEM
3	Folytassa a mondast! "Madarat tollarol, embert ..."	csaladjarol	baratjarol	ruhajarol	munkajarol	B	NYELV
4	Hova megy, aki a turfra indul?	bankba	kaszinoba	tozsdere	loversenypalyara	D	aLTALaNOS
5	Milyen gyumolcs "a magyar narancs" A tanu cimu nagysikeru vigjatekban?	mandarin	grapefruit	citrom	tok	C	FILM
6	Melyik munka eszkoze a vetelo?	fonas	vetes	szoves	aratas	C	TECHNIKA
7	Melyik magyar futballbiro lett haromszor egymas utan a vilag legjobb jatekvezetoje?	Puhl Sandor	Palotai Karoly	Zsolt Istvan	Vagner Laszlo	A	SPORT
8	Melyik videk festojenek nevezik Egry Jozsefet?	a Balaton	a Hortobagy	Budapest	Szeged	A	KePZoMuVeSZET
9	Ki tervezte az autogyartasban eloszor alkalmazott futoszalagrendszert?	Galamb Jozsef	Henry Ford	Biro Laszlo	Louis Renault	A	TECHNIKA
1	Melyik "kaposzta" egy etel elnevezese?	csupros	lucskos	mocskos	lottyedt	B	KONYHA
2	Milyen szinu dragako a rubin?	kek	voros	sarga	szintelen	B	aLTALaNOS
3	Az alabbiak kozul melyik egy szolofajta neve?	desdemona	otello	romeo	prospero	B	BIOLoGIA
4	Az alabbiak kozul mit neveznek tandemnek?	noi fehernemut	ketuleses kerekpart	tanari szemleltetoeszkozt	ketfedelu repulogepet	B	NYELV
5	Milyen allatok lathatok a Laokon-csoport nevu hires szobron?	sasok	kigyok	oroszlanok	farkasok	B	KePZoMuVeSZET
6	Melyik betegseg ellen vedenek a Sabin-cseppek?	torokgyik	gyermekbenulas	szamarkohoges	tuberkolozis	B	BIOLoGIA
7	Melyik uszonemben gyozott haromszor Kovacs agi az 1999-es isztambuli Europa-bajnoksagon?	gyorsuszasban	hatuszasban	pillangouszasban	melluszasban	D	SPORT
8	Ki a zeneszerzoje a "Magyar tancok"-nak?	Brahms	Liszt Ferenc	Smetana	Dohnanyi Erno	A	OPERA
9	Melyik Walt Disney-rajzfilmhez komponalt dalokat Elton John?	Pocahontas	Oroszlankiraly	Herkules	Aladdin	B	FILM
10	Mely orszagban talalhato a meneserol hires Lipica helyseg?	Horvatorszag	Szlovenia	Ausztria	Szlovakia	B	ORSZaGOK
11	Milyen hangszert neveztek el a muzsak lakhelyerol?	utost	vonost	fuvost	billentyust	C	OPERA
12	Melyik USA tagallam teruleten talalhato a Grand Canyon?	Nevada	Colorado	Arizona	Utah	C	FoLDRAJZ
13	Ki gyozte le Spartacust, az okori rabszolgafelkeles vezetojet?	Scipio	Pompeius	Julius Caesar	Crassus	D	ToRTeNELEM
1	Hova kene menni pulykakakast venni az ismert dal szerint?	Badacsonyba	Debrecenbe	Kobanyara	pulykafarmra	B	aLTALaNOS
2	Hova jut be egy szinhazban az, akit beengednek a kulisszak moge?	a bufe moge	a diszlet moge	a zsinorpadlasra	a zenekari arokba	B	aLTALaNOS
3	Minek az ose volt a velociped?	orrszarvu	tornacipo	repulo	kerekpar	D	NYELV
4	Milyen nyelv a BASIC?	javitott eszperanto	kodolt titkosiras	szamitogepes programnyelv	madarnyelv	C	aLTALaNOS
5	Melyik magyar labdarugo klubcsapat szerezte addig a legtobb bajnoksagot?	Kispest Honved	ujpest	Vasas	Ferencvaros	D	SPORT
6	Melyik noveny szaritott husa a kopra?	kivi	kokuszdio	licsi	kesudio	B	BIOLoGIA
7	Melyik palyaudvar csarnokat epitette az Eiffel-ceg?	Deli palyaudvar	Keleti palyaudvar	Jozsefvarosi palyaudvar	Nyugati palyaudvar	D	aLTALaNOS
8	Ki vitte a magyar zaszlot az atlantai olimpian?	Benedek Tibor	Gyulai Zsolt	Kovacs Istvan	Szabo Bence	D	SPORT
9	Hogy nevezik a zsido husvetot?	Peszah	Purim	Jom kippur	macesz	A	VALLaS
1	Milyen deligyumolcs szerepel Bartok "csodalatos" tancjatekanak cimeben?	fuge	banan	mandarin	kokusz	C	OPERA
2	Milyen tulajdonsaggal szoktak jellemezni a nyulat?	ritka	szapora	eszes	ravasz	B	aLTALaNOS
3	Mi tartja palyajukon az egitesteket?	az egellenallas	a gravitacio	a fenysebesseg	a szaturacio	B	TUDOMaNY
4	Melyik okori nep viselete volt a tunika?	a sumeroke	az egyiptomiake	a romaiake	a kinaiake	C	ToRTeNELEM
5	Melyik az uralkodo vallas Indiaban?	hindu	buddhista	szikh	muzulman	A	VALLaS
1	Hogy nevezzuk a gyermekkorban kihullo fogakat?	tejfog	vizfog	fureszfog	teafog	A	BIOLoGIA
2	Melyik orszag Kanada egyetlen szomszedja?	Brazilia	Mexiko	Oroszorszag	Amerikai Egyesult allamok	D	FoLDRAJZ
3	Milyen eloleny jart elsokent a vilagurben?	kutya	macska	majom	tengerimalac	A	aLTALaNOS
4	Mi a porcelangyartas fo alapanyaga?	kvarc	gyanta	kaolin	polisztirol	C	TECHNIKA
1	Egy magyar nepdal szerint melyik gyumolcs erik, amikor hajlik a vesszo?	narancs	banan	dinnye	szolo	D	aLTALaNOS
2	Melyik ferfinevunkbol szarmazik egy diszes kabatfajta elnevezese?	Attila	Levente	Botond	Huba	A	aLTALaNOS
3	Milyen allat a dromedar?	egypupu teve	ketpupu teve	szamar es oszver utoda	lo es oszver utoda	A	BIOLoGIA
4	Melyik orszagban lathatok a Meteora-kolostorok?	Bulgariaban	Torokorszagban	Oroszorszagban	Gorogorszagban	D	ORSZaGOK
5	Melyik varos modern epulete a Pompidou kozpont?	Bordeaux	Parizs	Genf	Montreal	B	ORSZaGOK
6	Melyik orszag uralkodoja volt Krisztina kiralyno, akit filmen Greta Garbo is megszemelyesitett?	Norvegia	Dania	Svedorszag	Finnorszag	C	ToRTeNELEM
7	Melyik szervunk betegsege a gumokor?	a foge	a maje	a bore	a tudoe	D	BIOLoGIA
8	Melyik magyar labdarugo volt a legtobbszor valogatott?	Fazekas Laszlo	Hidegkuti Nandor	Albert Florian	Bozsik Jozsef	D	SPORT
1	Milyen kerti szerszam "sulhet el" neha a mondas szerint?	az eke szarva	a kapanyel	a locsolocso	a metszoollo	B	NYELV
2	Melyik kiralyunkrol irt rock-operat a Szorenyi-Brody szerzoparos 1983-ban?	Szent Laszlorol	Szent Istvanrol	Konyves Kalmanrol	Matyas kiralyrol	B	ZENE
3	Hogy nevezzuk a vegyi folyamatok sebesseget megvaltoztato anyagot?	katalizator	katapult	katalogus	katarzis	A	TUDOMaNY
4	Az alabbi orszagok kozul hol kozlekednek a legtobben kerekparral?	India	Egyesult allamok	Kina	Franciaorszag	C	aLTALaNOS
5	Mi a neve Tarzan parjanak?	Mary	Jill	Jane	Eve	C	FILM
6	Mennyi penzert arulta el Judas Jezust?	otven aranyert	harminc ezustert	negyven ezustert	husz aranyert	B	VALLaS
7	Mi a cime Charles Darwin legismertebb muvenek?	A majmok es mi	Az evolucio es mi	A fajok eredete	A homo sapiens eredete	C	BIOLoGIA
8	Mit vallal, aki vallalta a komasagot?	a sogorsagot	a keresztszuloseget	a mostohaszuloseget	a nasznagysagot	B	aLTALaNOS
9	Kit vagy kiket vedelmezett a het mesterlovesz az azonos cimu klasszikus westernfilmben?	az amerikai elnokot	egy mexikoi falut	olsz maffiozokat	egy apacs torzset	B	FILM
1	Milyen allatokrol irt musicalt Andrew Lloyd Webber?	elefantokrol	medvekrol	macskakrol	deneverekrol	C	ZENE
2	Melyik tengerbe torkollik a Duna?	az Adriai-tengerbe	a Foldkozi-tengerbe	a Fekete-tengerbe	a Marvany-tengerbe	C	FoLDRAJZ
3	Mennyi a Ludolf-fele szam vagyis a "pi" kerekitett erteke?	3,14	4,25	1,34	3,33	A	TUDOMaNY
4	Mi a libretto?	ujfajta szerencsejatek	aruhitel	zenes muvek szovegkonyve	rabszolgak felszabaditasa	C	NYELV
5	Milyen allat nyelte le Jonast a Bibliaban?	vizilo	krokodil	cethal	oroszlan	C	VALLaS
6	Melyik orszag tanca volt eredetileg a tango?	Argentina	Portugalia	Spanyolorszag	Brazilia	A	ORSZaGOK
1	Melyik haziallat gyermekenek nincs se fule, se farka az ismert gyermekdal szerint?	lo	kecske	tehen	barany	C	aLTALaNOS
2	Melyik szervunket gyogyitja a kardiologus?	szivunket	szemunket	fogunkat	tudonket	A	BIOLoGIA
3	Mit csinal, aki srofol?	konyvel	kalapal	csavaroz	penzt ver	C	NYELV
4	Melyik szakma dolgozoit unnepeljuk junius elso vasarnapjan?	a pedagogusokat	az orvosokat	a banyaszokat	a rendoroket	A	aLTALaNOS
5	Kinek a regenyebol keszult a "La Mancha lovagja" cimu musical?	Victor Hugo	Cervantes	Boccaccio	Dickens	B	IRODALOM
6	Melyik kulonleges hangszer zenesze Ravi Shankar?	szitar	konga	tabla	cseleszta	A	OPERA
7	Mi volt a cime az Arany Janos kesei muveit tartalmazo versgyujtemenynek?	Visszaemlekezesek	Epilogus	oszikek	Emlekkonyv	C	IRODALOM
8	Kik laktak a Tiltott Varosban?	mongol kanok	indiai maharadzsak	kinai csaszarok	tibeti szerzetesek	C	ToRTeNELEM
9	Kirol kaptak nevuket a szovjet Tupoljev tipusu repulogepek?	egy elmunkas szerelorol	az elso pilotarol	a tervezoiroda vezetojerol	a gyar igazgatojarol	C	TECHNIKA
10	Milyen szinu nyaron a hermelin bundaja?	fekete	szurke	barna	feher	C	BIOLoGIA
11	Mirol valasztotta nevet a U2 egyuttes?	atom-tengeralattjarorol	kemmuholdrol	felderito repulogeprol	anyahajorol	C	ZENE
9	Mit jelent magyarul a "Gaudeamus", a ballagasi enek cime?	Keljunk utra!	Vigadjunk!	Bucsuzzunk el!	eljunk a manak!	B	NYELV
1	Hogy szol a mondas: "Ki mint vet, ..."	ugy kaszal	ugy arat	ugy marad	ugy gereblyezik	B	NYELV
2	Mit keszitenek a szilvabol, ha szilvoriumot foznek belole?	lekvart	levest	palinkat	befottet	C	KONYHA
3	Mi volt a Margitsziget korabbi neve?	Nyulak szigete	ozek szigete	Kolostorok szigete	Papok szigete	A	ToRTeNELEM
4	Mije van egy ruhanak, ha van sleppje?	uszalya	fatyla	fodra	alsoszoknyaja	A	aLTALaNOS
5	Hogy nevezi az utokor Blaha Lujzat?	az avoni hattyu	a legdalosabb magyar	a nemzet csaloganya	a nagyasszony	C	SZiNHaZ
6	Milyen szarmazasu a kepregeny- es filmhos Asterix?	gall	normann	vandal	viking	A	FILM
7	Mibol keszul a kumisz?	kecsketejbol	rozsbol	kancatejbol	makbol	C	KONYHA
8	Hany negyzetmeter egy hektar?	50 000	100 000	10 000	1 000	C	TUDOMaNY
9	Az alabbi musicalek kozul melyiket komponalta utoljara Andrew Lloyd Webber?	Macskak	Evita	Jezus Krisztus Szupersztar	Az Operahaz fantomja	D	ZENE
1	Mi a japan nok hagyomanyos viselete?	bikini	harakiri	monokini	kimono	D	aLTALaNOS
2	Melyik fovarosrol kapta nevet egy nepszeru, panirozott husetel?	Becs	London	Berlin	Varso	A	KONYHA
3	Hogy nevezzuk a vulkani kraterbol kiomlo izzo folyadekot?	gleccser	lava	gejzir	lavina	B	FoLDRAJZ
4	Milyen "parcellanak" nevezik a keskeny szantofoldeket?	nadragszar	nadragfek	nadragszij	nadragtarto	C	NYELV
5	Hany magyar kiralyt avattak szentte?	egyet	kettot	harmat	negyet	B	ToRTeNELEM
6	Melyik Grimm-mesefigurarol irt balettzenet Csajkovszkij?	Csipkerozsikarol	Hofeherkerol	Hamupipokerol	Huvelyk Matyirol	A	OPERA
7	Melyik a Naprendszer legnagyobb bolygoja?	Uranusz	Jupiter	Pluto	Szaturnusz	B	TUDOMaNY
8	Melyik Europa legkisebb szigetallama?	Malta	Ciprus	Izland	irorszag	A	FoLDRAJZ
9	Hol talalhato a Balaton Muzeum?	Keszthely	Siofok	Balatonfured	Fonyod	A	MAGYARORSZaG
10	Melyik szindarab jatszodik a harminceves haboru alatt?	Az orleans-i szuz	Az obsitos	Kurazsi mama	Faklyalang	C	IRODALOM
1	Mit fog enni mivel a Hyppolit, a lakaj fohose a filmben elhangzo hires mondas szerint?	toportyut toportyuvel	virslit mustarral	hagymat hagymaval	hamburgert kolaval	C	FILM
2	Mire hasznaljak a valyogot?	uveggyartasra	ruhakeszitesre	epitkezesre	futesre	C	TECHNIKA
3	Mennyi ido alatt keruli meg a Hold a Foldet?	28 nap	30 nap	40 nap	1 ev	A	TUDOMaNY
4	Mit tilolnak az alabbiak kozul?	buzat	gyapjut	kendert	sonkat	C	aLTALaNOS
5	Melyik meretet nem adjak meg a noi konfekcioruhakon?	derekboseg	csipoboseg	mellboseg	vallszelesseg	D	aLTALaNOS
6	Milyen celra keszitik a standfotokat?	urobjektumok tanulmanyozasara	csaladi albumba	meteorologiai vizsgalatokra	reklamcelokra	D	aLTALaNOS
7	Kinek a szuletesnapja alkalmabol indult a 70-es trolibuszjarat Budapesten?	Sztalin	Rakosi Matyas	Hruscsov	Lenin	A	ToRTeNELEM
8	Hogy hivjak azt a hajot, melyen Fulig Jimmy pincerkent es futokent is tevekenykedik?	Rangoon	Radzeer	Honolulu Star	Mi ujsag, Wagner ur?	C	IRODALOM
9	Hogyan irjuk helyesen nagy dramaironk raggal ellatott nevet?	Madacscsal	Madaccsal	Madachcsal	Madach-csal	C	NYELV
10	Melyik sportag szakkifejezese a fless?	birkozas	torna	vitorlazas	vivas	D	SPORT
1	Mi a delibab?	mediterran noveny	deli gyermekeloadas	legkori jelenseg	tropusi lepkekezdemeny	C	aLTALaNOS
2	Hogy nevezik a kartyasok az osztas utan fennmarado paklit?	talon	maccs	full	taljan	A	JaTeK
3	Milyen husbol keszul a bifsztek?	sertes	liba	marha	galamb	C	KONYHA
4	Mire hasznaljak az amerikanert?	lovesre	vesesre	sportolasra	furasra	D	aLTALaNOS
5	Melyik a Fold leghosszabb folyoja?	Jangce	Nilus	Mississippi	Amazonas	B	FoLDRAJZ
6	Mi volt a neve Jurij Gagarin urhajojanak?	Luna-1	Voszhod-1	Vosztok-1	Szojuz-1	C	TECHNIKA
7	Mi az a csepu, amit a szineszek "ragtak"?	dohanylevel	kenderkoc	szovegkonyv	szaraz kenyer	B	aLTALaNOS
8	Hol el a tropusi gyumolcs nevevel megegyezzo nevu madar, a kivi?	Del-Amerikaban	uj-Zelandon	Afrikaban	Sziberiaban	B	BIOLoGIA
9	Mi a teljesitmeny SI mertekegysege?	joule	watt	loero	newton	B	TUDOMaNY
10	Melyik allam zaszlaja hasonlit az Egyesult allamok zaszlajara, de csak egy csillag talalhato benne?	Liberia	Ausztralia	Malajzia	Costa Rica	A	ORSZaGOK
11	Ki volt Magyarorszag parizsi nagykovete 1947-1949 kozott?	Szakasits arpad	Karolyi Mihaly	Fejto Ferenc	Illyes Gyula	B	ToRTeNELEM
1	Mi a koznapi elnevezese a boltozat nelkuli emberi talpnak?	hernyotalp	medvetalp	sitalp	ludtalp	D	BIOLoGIA
2	Az alabbiak kozul melyik nem halfajta?	viza	tok	harcsa	varsa	D	BIOLoGIA
3	Mit csinaltak azzal, akit kistafiroztak?	kisminkeltek	toroltek a nyilvantartasbol	ellattak kelengyevel	pellengerre allitottak	C	NYELV
